title,year,director,runtime,cast
The Worst Person in the World,2021,Joachim Trier,128,"['Renate Reinsve', 'Anders Danielsen Lie', 'Herbert Nordrum', 'Hans Olav Brenner', 'Helene Bjørnebye', 'Vidar Sandem', 'Maria Grazia Di Meo', 'Lasse Gretland', 'Karen Røise Kielland', 'Marianne Krogh', 'Thea Stabell', 'Deniz Kaya', 'Eia Skjønsberg', 'Ruby Dagnall', 'Torgny Amdam', 'Rebekka Jynge', 'Sigrid Sollund', 'Are Skeie Hermansen', 'Siri Forberg', 'Sofia Schandy Bloch', 'Anna Dworak', 'Savannah Marie Schei', 'August Wilhelm Méd Brenner', 'Karla Nitteberg Aspelin', 'Tumi Løvik Jakobson', 'Jonathan Nielssen', 'Maren Emilie Haagenrud Buskoven', 'Olav Stubberud', 'Martin Gran', 'Geir Ørnholt', 'Tobias Klemeyer Smith', 'Nataniel Nordnes', 'Trygve Indrelid', 'Trude Schjelderup Iversen', 'Zoe Maland Rogers', 'Jonas Lund', 'Hildur Kristinsdottir', 'Johanna Brym Ryg', 'Thomas Teige', 'Margrethe Glambek', 'Ine Jansen', 'Gisle Tveito']"
Falling for Christmas,2022,Janeen Damian,95,"['Lindsay Lohan', 'Chord Overstreet', 'George Young', 'Jack Wagner', 'Olivia Perez', 'Alejandra Flores', 'Sean J. Dillingham', 'Chase Ramsey', 'Bus Riley', 'Aliana Lohan', 'Kate Rachesky', 'Oscar Rudecindo', 'Lonzo Liggins', 'Antonio D. Charity', 'Blythe Howard', 'Allan Groves', 'Cat Hammons', 'Sila Agavale', 'Rebecca Flinn-White', 'Jane Autumn Bonner', 'McKenzie Steele Foster', 'Elizabeth Adeola', 'Robert Daniels', 'Anthony Starzynski', 'Camelia Somers']"
TÁR,2022,Todd Field,158,"['Cate Blanchett', 'Nina Hoss', 'Noémie Merlant', 'Sophie Kauer', 'Julian Glover', 'Mark Strong', 'Sylvia Flote', 'Mila Bogojevic', 'Allan Corduner', 'Fabian Dirr', 'Vincent Riotta', 'Sam Douglas', 'Lucie Pohl', 'Vivian Full', 'Lee Sellars', 'Ed White', 'Christoph Tomanek', 'Frank Röth', 'André Röhner', 'Jessica Hansen', 'Murali Perumal', 'Sydney Lemmon', 'Dorothea Plans Casal', 'Jan Wolf', 'Peter Hering', 'Artjom Gilz', 'Marie-Lou Sellem', 'Marie-Anne Fliegel', 'Jasmine Leung', 'Chalee Sricharoen', 'Lydia Schamschula', 'Tilla Kratochwil', 'Zethphan Smith-Gneist', 'Adam Gopnik', 'Alec Baldwin', 'Marc-Martin Straub', 'Egon Brandstetter', 'Ylva Pollak', 'Paula Först', 'Nicolas Hopchet', 'Kitty Watson', 'Alma Löhr', 'Christian Höcherl', 'Han Lai', 'Andreas Jentzsch', 'Daniel Söhner', 'Alexandra Montag', 'Rose Knox-Peebles', 'Normann Höhne', 'Sven Rothe', 'Johann von Bülow', 'Oliver Mills', 'Xenia Assenza', 'Johanne Murdock', 'Burkhard Nitsch', 'Sarah Bauerett', 'Ian Gallego', 'Joy Villanueva', 'Aldrin Poblete', 'Froilan Japano', 'Pattarawadee Thiwwatpakorn', 'Parami Mingmitpatanakun', 'Prapruttam Khumchat', 'Jevimary de Guia', 'Kenneth Won', 'An Cerne', 'Wenteng Chang', 'Songha Choi', 'Rucheng Fan', 'Christopher Lindner', 'Sarah Martin', 'Levin Petersen', 'Qu Yunrui', 'Diana Birenytė', 'Arthur Gannaban', 'Phongphairoj Lertsudwichai']"
History of the Occult,2020,Cristian Ponce,82,"['Héctor Ostrovsky', 'Nadia Lozano', 'Casper Uncal', 'Agustín Recondo', 'Iván Esquerre', 'Luciano Guglielmino', 'Hernán Altamirano', 'Lucía Arreche', 'Cristian Salgueiro', 'Germán Baudino', 'Raúl Omar García', 'Juanjo Suker', 'Víctor Díaz', 'Paola Amor', 'Lucía Cano', 'Mario Lombard', 'Victoria Reyes Benz', 'Luciana Burgardt', 'Walter Lencina', 'Guillermo Perelstein', 'Alex Abdeneve', 'Pedro Saieg', 'Letizia Denise Bloisi', 'Hernán Bengoa', 'Gabriela Lage', 'Federico Aimetta', 'René Mantiñan']"
Drive My Car,2021,Ryusuke Hamaguchi,180,"['Hidetoshi Nishijima', 'Toko Miura', 'Masaki Okada', 'Reika Kirishima', 'Park Yu-rim', 'Jin Dae-yeon', 'Sonia Yuan', 'Ahn Hwi-tae', 'Perry Dizon', 'Satoko Abe', 'Hiroko Matsuda', 'Toshiaki Inomata', 'Takako Yamamura', 'Ryo Iwase', 'Faisal Anwar', 'Kamal Zharif', 'Massimo Biondi', 'Shoichiro Tanigawa']"
Night of the Coconut,2022,Patrick Willems,89,"['Chloe Holgate', 'Matt Torpey', 'Patrick Willems', 'Dave Wiskus', 'Jake Torpey', ""Paul O'Donnell"", 'Arjun Ragalwar', 'Adam Lance Garcia', 'Scott Thomas', 'Timothy Perez', 'Emma Logsdon', 'Rachel Schenk', 'Siddhant Adlakha']"
Avatar: The Way of Water,2022,James Cameron,192,"['Sam Worthington', 'Zoe Saldaña', 'Sigourney Weaver', 'Stephen Lang', 'Kate Winslet', 'Cliff Curtis', 'Joel David Moore', 'CCH Pounder', 'Edie Falco', 'Jemaine Clement', 'Giovanni Ribisi', 'Britain Dalton', 'Jamie Flatters', 'Trinity Bliss', 'Jack Champion', 'Brendan Cowell', 'Bailey Bass', 'Filip Geljo', 'Duane Evans Jr.', 'Dileep Rao', 'Matt Gerald', 'Robert Okumu', 'Jennifer Stafford', 'Keston John', 'Kevin Dorman', 'Alicia Vela-Bailey', 'Sean Anthony Moran', 'Andrew Arrabito', 'Johnny Alexander', 'Kim Do', 'Victor T. Lopez', 'Maria Walker', 'Phil Brown', 'Jocelyn Christian', 'Joel Tobeck', 'Moana Ete', 'Phil Peleton', 'Jamie Landau', 'Jim Moore', 'Benjamin Hoetjes', 'Nikita Tu Bryant', 'Anthony Ahern', 'Shane Rangi', 'Rick Lucas', 'Tanya Drewery', 'Ava Diakhaby', 'Isaac Te Reina', 'Eric Farmer', 'Philip Mtambo', 'Daniel Lough', 'Cruz Moir', 'Alex Lucas', 'Scarlett Fernandez', 'Chloe Coleman', 'Jeremy Irwin', 'Jake McLean', 'CJ Jones', 'Adrien Antoine', 'Ingrid Donnadieu', 'Ninon Moreau', 'Sylvie Genty', 'Xavier Fagnon', 'Matt Mouredon', 'Julien Alluguette', 'Oscar Douieb', 'Anneliese Fromont', 'Mathieu Buscatto', 'Jaynelia Coadou', 'Marianne Leroux', 'Thiéry Dubé', 'Laurent Maurel', 'Carmen Levrau', 'Pierre Boulanger', 'Patrick Mancini', 'Michèle Bardollet', 'Luc Boulad', 'Boris Rehlinger', 'Alexandre Nguyen', 'Damien Witecka']"
Lyle Lyle Crocodile,2022,Will Speck,106,"['Shawn Mendes', 'Javier Bardem', 'Winslow Fegley', 'Constance Wu', 'Scoot McNairy', 'Brett Gelman', 'Ego Nwodim', 'Lyric Hurd', 'Jason Kravits', 'Ben Palacios', 'Joshua Vasquez', 'Marc Farley', 'Sal Viscuso', 'Adam Murray', 'Mary Neely', 'Don DiPetta', 'Lindsey Moser', 'Matthew Risch', 'Clayton English', 'Mac Wells', 'Jef Holbrook', 'Matthew Wilkas', 'Lauren Boyd', 'Reif Howey', 'Evangeline Miller', 'Jene Moore', 'Chance Mizell', 'Christine Moon', 'Angela Davis', 'Kathryn Orlando', 'Caden Brillantes', 'Kyson Galligan', 'Alton Williams', 'Thomas Williams', 'Irving Thigpen', 'Matt Rogers', 'Eric Rutherford', 'Eboni Nichols', 'Taylor James', 'Donnie Cormier', 'Rick Pearson', 'Al Thompson']"
Bones and All,2022,Luca Guadagnino,131,"['Taylor Russell', 'Timothée Chalamet', 'Mark Rylance', 'Anna Cobb', 'André Holland', 'Michael Stuhlbarg', 'David Gordon Green', 'Jessica Harper', 'Chloë Sevigny', 'Jake Horowitz', 'Kendle Coffey', 'Max Soliz', 'Burgess Byrd', 'Johanna McGinley', 'Hannah Barlow', 'Ellie Parker', 'Madeleine Hall', 'Claudio Encarnacion Montero', 'Sue Hopkins', 'Aaron J. Gould', 'Brady Gentry', 'Dori Lucas', ""Tom O'Brien""]"
Rear Window,1954,Alfred Hitchcock,112,"['James Stewart', 'Grace Kelly', 'Thelma Ritter', 'Wendell Corey', 'Raymond Burr', 'Judith Evelyn', 'Ross Bagdasarian', 'Georgine Darcy', 'Irene Winston', 'Sara Berner', 'Frank Cady', 'Jesslyn Fax', 'Rand Harper', 'Havis Davenport', 'Jerry Antes', 'Benny Bartlett', 'Nick Borgani', 'Sue Casey', 'Iphigenie Castiglioni', 'James Cornell', 'Don Dunning', 'Marla English', 'Bess Flowers', 'Art Gilmore', 'Fred Graham', 'Kathryn Grant', 'Charles Harvey', 'Len Hendry', 'Alfred Hitchcock', 'Harry Landers', 'Alan Lee', 'Mike Mahoney', 'Jonnie Paris', 'Eddie Parker', 'Robert Sherman', 'Dick Simmons', 'Ralph Smiley', 'Jack Stoney', 'Anthony Warde', 'Gig Young']"
Shore Things,1996,Rick Sebak,75,"['Rick Sebak', 'Mandi Galloway', 'Jeffrey Stanton']"
Ethnic Notions,1986,Marlon Riggs,57,"['Esther Rolle', 'Leni Sloan', 'Barbara T. Christian', 'George Frederickson', 'Larry C. Levine', 'Derique McGee', 'Carlton Moss', 'Bert Williams']"
The Alphabet,1969,David Lynch,4,['Peggy Reavey']
Six Men Getting Sick,1967,David Lynch,4,[]
Affirmations,1990,Marlon Riggs,10,"['Reginald T. Jackson', 'R. Battle', 'Blackberri', 'Michael Bell', 'Essex Hemphill', 'Wayson Jones', 'David B. Kirkland', 'Alan Miller', 'Cornelius Moore', 'Colin Robinson', 'Donald Wodds']"
Color Adjustment,1992,Marlon Riggs,80,"['Norman Lear', 'Tim Reid', 'Daphne Maxwell Reid', 'Steven Bochco', 'Diahann Carroll', 'Ruby Dee', 'Henry Louis Gates, Jr.', 'Hal Kanter', 'Sheldon Leonard', 'Denise Nicholas', 'Alvin F. Poussaint', 'Esther Rolle', 'David L. Wolper']"
No Regret,1993,Marlon Riggs,38,['Reggie Williams']
Black Is … Black Ain’t,1994,Marlon Riggs,87,"['Marlon Riggs', 'bell hooks', 'Cornel West', 'Angela Davis', 'Essex Hemphill', 'B. Smith']"
The Final Exit of the Disciples of Ascensia,2019,Jonni Phillips,45,"['Haein Michelle Heo', 'Jenna Caravello', 'Charlotte Pryce', 'Benni Quintero', 'Gary Mairs', 'Isabel Higgins', 'Victoria Vincent', 'Chris Kim', 'Sam Gurry']"
Rosetta,1999,Jean-Pierre Dardenne,95,"['Émilie Dequenne', 'Olivier Gourmet', 'Fabrizio Rongione', 'Anne Yernaux', 'Bernard Marbaix', 'Frédéric Bodson', 'Florian Delain', 'Christiane Dorval', 'Mireille Bailly', 'Thomas Gollas', 'Leon Michaux', 'Victor Marit', 'Colette Regibeau', 'Claire Tefnin', 'Sophia Leboutte', 'Gaetano Ventura', 'Christian Neys', 'Valentin Traversi', 'Jean-Francois Noville']"
And Then We Danced,2019,Levan Akin,113,"['Levan Gelbakhiani', 'Bachi Valishvili', 'Ana Javakishvili', 'Giorgi Tsereteli', 'Tamar Bukhnikashvili', 'Kakha Gogidze', 'Ninutsa Gabisonia', 'Aleko Begalishvili', 'Mate Khidasheli', 'Anano Makharadze', 'Marika Gogichaishvili', 'Levan Gabrava', 'Saba Abashidze', 'Soso Abramashvili', 'Davit Abuladze', 'Giorgi Aladashvili', 'Salome Nadaraia', 'Tsitsino Kobiahsvili', 'Zaira Tabatadze', 'Eka Mzhavanadze', 'Marlen Egutia', 'Mzia Samkharadze', 'Tamari Skhirtladze', 'Natia Kupatadze', 'Zura Tsintsqiladze', 'Beno Jijiashvili']"
Magic Mike,2012,Steven Soderbergh,110,"['Channing Tatum', 'Matthew McConaughey', 'Alex Pettyfer', 'Cody H. Carolin', 'Olivia Munn', 'Joe Manganiello', 'Matt Bomer', 'James Martin Kelly', 'Reid Carolin', 'Adam Rodríguez', 'Kevin Nash', 'Gabriel Iglesias', 'Riley Keough', 'Michael Roark', 'Betsy Brandt', 'Mircea Monroe', 'Avery Bigelow', 'George A. Sack', 'Micaela Johnson', 'Denise Vasi', 'Camryn Grimes', 'Kate Easton', 'Asher Wallis', 'Alison Faulk', 'Catherine Lynn Stone', 'Jennifer Skinner', 'Vanessa Ryan', 'Teresa Espinosa', 'Monica Garcia Pérez', 'Annette Houlihan Verdolino', 'Candace Marie', 'Lyss Remaly', 'Jannel-Marie Diaz', 'Caitlin Gerard', 'Yari De Leon', 'Cam Banfield', 'Keith Kurtz', 'Marland Burke', 'Ashley Hayes', 'Ken Anthony II', 'Cassandra M. Bellantoni', 'Julie Berlin', 'Machete Bang Bang', 'Emma Chandler', 'Michelle Clunie', 'Erica Day', 'Tenley Dene', 'Fielding Edlow', 'Ingrid Fermandois', 'Frenchi Firecracker', 'Lubella Gauna', 'Corin Grant', 'Rod Grant', 'Joe High', 'Eric Ian', 'Stacy Jordan', 'Kelly Keyser', 'Melody King', 'Charlotte Wilson Langley', 'Joshua Lassman', 'Carrie Lauren', 'Melissa LeEllen', 'Morgan Lester', 'Melinda D. Marin', 'Krystle McMullan', 'Adrienne McQueen', 'Lindsey Marie Nelson', 'Jeremy Palko', 'Barrett Perlman', 'Maxi Schlereth', 'Nicole Alexandra Shipley', 'Veronica Viruet Simpson', 'John L. Smith Jr.', 'Hannah Stark', 'Chad Stevens', 'Michelle Stevenson', 'Makenzi Swicegood', 'Jennifer Thompson', 'Rachael Thompson', 'Victoria Vodar', 'Kenny Waymack Jr.', 'Vicky Kadian', 'T.J. Alston', 'Yeva-Genevieve Lavlinski', 'Robert M. Fenner', 'Dan Matteucci', ""Deana Molle'"", 'Samantha Parisi']"
SexWorld,1978,Alan Smithee,0,[]
White Noise,2022,Noah Baumbach,136,"['Adam Driver', 'Greta Gerwig', 'Don Cheadle', 'Raffey Cassidy', 'Sam Nivola', 'May Nivola', 'Jodie Turner-Smith', 'André 3000', 'Sam Gold', 'Carlos Jacott', 'Lars Eidinger', 'Bill Camp', 'Barbara Sukowa', 'Francis Jue', 'J. David Hinze', 'Gideon Glick', 'Madison Gaughan', 'Douglas Brodax', 'Carly Brodax', 'Jill Brodax', 'Wickham Bermingham', 'Michael Chopra', 'Santu Chopra', 'Danielle Williams', 'Matthew Williams', 'Henry Moore', 'Dean Moore', 'Jacob Weinheimer', 'Danny Wolohan', 'Randall L. Johnson', 'David Neumann', 'Starlett Sabo', 'Erik Moth', 'Gavin Ditz', 'George Drakoulias', 'James DeForest Parker', 'Andrew Barth Feldman', 'Annie Fitzpatrick', 'Brooke Bloom', 'Quincy Tyler Bernstine', 'Jennifer Tober', 'David Myers Gregory', 'Aaron Marcus', 'Benjamin Sheeler', 'Ted Weil', 'Jeanne Madison', 'Joey Nader', 'C.C. Boler', 'Maggie Lou Rader', 'Alphaeus Green, Jr.', 'Lauren Ashley Berry', 'Hannah Neff', 'Dean Wareham', 'Britta Phillips', 'Chloe Fineman', 'Janette Torrico-Woo', 'Howard Y. Woo', 'Janellyn Woo', 'Jacquelyn Woo', 'Mei Woo', 'Chris Green', 'Samantha Russell', 'Andy Knode', 'Kenneth D. Early', 'J. Barrett Cooper', 'Sarah Eddy', 'Matt Henderson', 'Kenneth Lonergan', 'Meggie Loughran', 'Mike Gassaway', 'Bob Gray', 'Thomas W. Wolf', 'Bryant Carroll', 'Bill Bower', 'Sierra Chagin', 'Catherine Collier', 'Anthony Dain', 'Rick Dremann', 'Dave Droge', 'Logan Fry', 'Michelle Haskell', 'Steven Hemminger', 'Linda Marie Howell', 'Mike Kolovich', 'Emily Cass McDonnell', 'Ashley McKnight', 'Cory Medley-White', 'Joseph Moreland', 'Kevin E. Murphy', 'Sue Danna Myer', 'Laura Rauh', 'T. Oliver Reid', 'Daniel Repas', 'Brandon (B.Rice) Rice', 'Mark Salas', 'Michael Suglio', 'Erica Sweany', 'Marshall Vargas', 'William Wilmoth', 'Paul Worley']"
This Place Rules,2022,Andrew Callaghan,82,"['Andrew Callaghan', 'Alex Jones', 'Mike Busey', 'Edward X. Young', 'Donald Trump', 'Joe Biden', 'Mike Pence', 'Tucker Carlson', 'Rudolph Giuliani', 'Kamala Harris', 'Hunter Biden', 'Gavin McInnes', 'Jimmy Fallon', 'James Corden', 'Forgiato Blow', 'Enrique Tarrio', 'Dave Todeschini', 'Mike Lindell', 'Donald Trump Jr.']"
Man Bites Dog,1992,André Bonzel,96,"['Benoît Poelvoorde', 'Rémy Belvaux', 'André Bonzel', 'Jacqueline Poelvoorde-Pappaert', 'Valérie Parent', 'Édith Le Merdy', 'Jenny Drye', 'Malou Madou', 'Willy Vandenbroeck', 'Nelly Pappaert', 'Hector Pappaert', 'Rachel Deman', 'André Laime', 'Sylviane Godé', 'Zoltan Tobolik', 'Alexandra Fandango', 'Olivier Cotica', 'Benoît Mariage']"
Dog Eat Dog,2016,Paul Schrader,93,"['Nicolas Cage', 'Willem Dafoe', 'Christopher Matthew Cook', 'Omar Dorsey', 'Louisa Krause', 'Melissa Bolona', 'Reynaldo Gallegos', 'Chelcie Lynn', 'Bruce Reizen', 'Nicky Whelan', 'Magi Avila', 'Jeff Hilliard', 'Ali Wasdovich', 'Louis Perez', 'Jessica Sonneborn', 'Tora Kim', 'Chelsea Mee', 'Joe Gallipoli', 'Shawn Mattox', 'Robert Maples', 'Paul Schrader', 'Lauren Ashley Berry', 'Leilani Barrett', 'John Patrick Jordan', 'Phillip Shaun DeVone', 'Steve Mayberry', 'Ali Amin Carter', 'Tevis R. Marcum', 'Todd Emmett', 'Michael Vehar', 'David Downie', 'David Spencer', 'Moussa Hachem', 'Keith Hernandez', 'Allen Roth', 'Rick Fike Jr.', 'Michael Wisniewski', 'Mark Salas', 'Theresa Wylie', 'Cheryl L. Sorice', 'James Seward', 'Charles Dean Stead', 'Audrey Morgan', 'Heather Chadwell', 'Monisha B. Schwartz', 'Destiny C. Cole', 'Jennifer Mary Stanaltis', 'Cimone Drupman', 'Gina R. Demczyk', 'Shieda Orr', 'Karla Scime', 'Carl Mintz', 'Johanna McGinley', 'Jessica Daley', ""De'Andre Bush"", 'Jonathan Gaietto', 'Basil Crimaldi', 'Christopher Butler', 'Donavan Darius', 'Jake Ingrassia', 'Kristina Randjelovic', 'Shane Brewer', 'Sean Manos', 'Courtney Ann Sivinsky Benson', 'Joiel Bauschatz', 'Adam M. Miele', 'Christian Miranda', 'Joseph H Coxon', 'Melissa Rae Bender', 'Jay J. Bidwell', 'Megan Brautigam', 'Susan Cashdollar', 'Lou Consolo', 'Benjamin Donlow', 'Rod Fielder', 'Richard Fike', 'Joe Fishel', 'Eric Frank', 'Logan Fry', 'David Gragg', 'John W. Iwanonkiw', 'Gary A. Jones', 'Jack Norman', 'Edward Pfeifer', 'Whitney Romito-Mason']"
A Dog's Will,2000,Guel Arraes,104,"['Matheus Nachtergaele', 'Selton Mello', 'Rogério Cardoso', 'Denise Fraga', 'Diogo Vilela', 'Luís Melo', 'Virginia Cavendish', 'Bruno Garcia', 'Enrique Díaz', 'Maurício Gonçalves', 'Aramis Trindade', 'Marco Nanini', 'Paulo Goulart', 'Lima Duarte', 'Fernanda Montenegro']"
Slumdog Millionaire,2008,Danny Boyle,120,"['Dev Patel', 'Saurabh Shukla', 'Anil Kapoor', 'Raj Zutshi', 'Jeneva Talwar', 'Freida Pinto', 'Irrfan Khan', 'Azharuddin Mohammed Ismail', 'Ayush Mahesh Khedekar', 'Jira Banjara', 'Sheikh Wali', 'Mahesh Manjrekar', 'Sanchita Choudhary', 'Himanshu Tyagi', 'Sharib Hashmi', 'Virendra Chatterjee', 'Feroze Khan', 'Sunil Kumar Agrawal', 'Virender Kumar', 'Devesh Rawal', 'Rubina Ali', 'Ankur Vikal', 'Tiger', 'Chirag Parmar', 'Nazneen Shaikh', 'Farzana Ansari', 'Anupam Shyam', 'Salim Chaus', 'Harvinder Kaur', 'Narendra Singh Bhati', 'Tanay Chheda', 'Ashutosh Lobo Gajiwala', 'Satya Mudgal', 'Janet de Vigne', 'William Relton', 'David Gilliam', 'Mia Drake', 'Kinder Singh', 'Christine Matovich Singh', 'Thomas Lehmkuhl', 'Siddesh Patil', 'Najma Shaikh', 'Saeeda Shaikh', 'Alka Satpute', 'Tabassum Khan', 'Tanvi Ganesh Lonkar', 'Sitaram Panchal', 'Nigel Caesar', 'Ajit Pandey', 'Kedar Thapar', 'Amit Leonard', 'Rajesh Kumar', 'Sagar Ghopalkar', 'Pradeep Solanki', 'Abdul Hamid Shaikh', 'Dheeraj Waghela', 'Shruti Seth', 'Arfi Lamba', 'Taira Colah', 'Varun Bagri', 'Ankur Tewari', 'Anjum Sharma', 'Madhur Mittal', 'Sarfaraz Khan', 'Syed Fazal Hussain', 'Umar Khan', 'Imran Hasnee', 'Homai Billimoria', 'Udayan Baijal', 'Sandeep Kaul', 'Rufee Ahmed', 'Rhea Lawyer', 'Deepali Dalvi', 'Anisha Nagar', 'Farrah Shaikh', 'Mamta Sharma', 'Neha M. Khatarawalla', 'Tanya Singh', 'Anand Tiwari', 'Faezeh Jalali', 'Meghana Jhalani', 'Rupali Mehra', 'Anju Singh', 'Saurabh Agarwal', 'Mark Boucher', 'Andre Nel', 'Yuvraj Singh', 'Sachin Tendulkar', 'Amitabh Bachchan']"
Friday the 13th Part 2,1981,Steve Miner,86,"['Amy Steel', 'Stuart Charno', 'Kirsten Baker', 'Warrington Gillette', 'Lauren-Marie Taylor', 'John Furey', 'Adrienne King', 'Walt Gorney', 'Marta Kober', 'Tom McBride', 'Jack Marks', 'Russell Todd', 'Bill Randolph', 'Betsy Palmer', 'Cliff Cudney', 'Jill Voight', 'China Chen', 'Steve Dash', 'Tom Shea', 'Ari Lehman', 'Jaime Perry', 'Steve Daskawisz', 'Jerry Wallace', 'David Brand', 'Carolyn Louden']"
Friday the 13th Part III,1982,Steve Miner,95,"['Dana Kimmell', 'Catherine Parks', 'Richard Brooker', 'Tracie Savage', 'David Wiley', 'Rachel Howard', 'Anne Gaybis', 'Larry Zerner', 'Paul Kratka', 'Jeffrey Rogers', 'Steve Miner', 'David Katims', ""Kevin O'Brien"", 'Nick Savage', 'Cheri Maugans', 'Gloria Charles', 'Steve Susskind', 'Perla Walter', 'Warrington Gillette', 'Bud Davis', 'Terence McCorry', 'Terry Ballard', 'Gianni Standaart', 'Betsy Palmer', 'Amy Steel', 'John Furey', 'Steve Daskawisz', 'Charlie Messenger', 'Marilyn Poucher']"
Cloud Atlas,2012,Lana Wachowski,172,"['Tom Hanks', 'Halle Berry', 'Jim Broadbent', 'Hugo Weaving', 'Jim Sturgess', 'Bae Doona', 'Ben Whishaw', ""James D'Arcy"", 'Zhou Xun', 'Keith David', 'Susan Sarandon', 'Hugh Grant', 'David Gyasi', 'Robert Fyfe', 'Martin Wuttke', 'Robin Morrissey', 'Brody Nicholas Lee', 'Ian van Temperley', 'Amanda Walker', 'Ralph Riach', 'Andrew Havill', 'Tanja de Wendt', 'Raevan Lee Hanan', 'Götz Otto', 'Niall Greig Fulton', 'Louis Dempsey', 'Martin Docherty', 'Alistair Petrie', 'Zhu Zhu', 'Sylvestra Le Touzel', 'Jojo Schöning', 'Laura Vietzen', 'Thomas Kügel', 'Marie Rönnebeck', 'Ruby Kastner', 'Emma Werz', 'Mya-Lecia Naylor', 'Korbyn Hawk Hanan', 'Katy Karrenbauer', 'Dulcie Smart', 'Anna Holmes', 'Shaun Lawton', 'Moritz Berg', 'Gigi Lee', 'Genevien Lee', 'Cody Benjamin Lee', 'Heike Hanold-Lynch', 'Victor Solé', 'Kristoffer Fuss', 'Marco Albrecht', 'Gary McCormack', 'David Mitchell']"
A Brighter Summer Day,1991,Edward Yang,237,"['Chang Chen', 'Lisa Yang', 'Chang Kuo-Chu', 'Elaine Jin', 'Chuan Wang', 'Han Chang', 'Chiang Hsiu-Chiung', 'Stephanie Lai', 'Wang Chi-tsan', 'Lawrence Ko', 'Tan Chih-Kang', 'Chang Ming-Hsin', 'Jung Chun-Lung', 'Hui-Kuo Chou', 'Chi-Chung Liu', 'Ching-Hsiang Ho', 'Chang-Ta Tsai', 'Tsung-Ming Lee', 'Hsiao-Tsui Tang', 'Ming-Ying Chiang', 'Hung-Ming Lin', 'Wang Bosen', 'Hung-Yu Chen', 'Tien-Hsiang Yang', 'Hsiao-Wei Liao', 'Cheng-Ching Lin', 'Ming-Hsun Lee', 'Tai-song Chen', 'Ming-Che Lee', 'Ming-Che Lee', 'Yi-Cheng Chung', 'Chia-Hsien Ho', 'Kang-Nien Cheng', 'Hsien-Liang Hsu', 'Chih-Chien Tang', 'Chien-Hung Tseng', 'Yiwen Cao', 'Martin Liu', 'Yi-Chun Chang', 'Yuan Ling', 'Alex Yang', 'Joyce Ni Shu-Chun', 'Weiming Wang', 'Ye-Ming Wang', 'Chien-Hsiung Cheng', 'De-Hai Chu', 'Pei-Min Shih', 'Liang-Tso Liu', 'Hang Shen', 'Yang-Yeh Fu', 'Lee Ching-Foo', 'Yi-Wen Chen', 'Jen-Chieh Lin', 'Cheng Yuan-Cheng', 'Yi-Chin Tsai', 'Feng Guoqiang', 'Yu-Lung Yin', 'Hsu Ming', 'Chin Tsai', 'Cho Ming', 'Wen-Yen Chang', 'Lien-Lien Hsiao', 'Emily Y. Chang', 'King Shih-Chieh', 'Lih-Ching Lin', 'Ru-Yun Tang', 'Chiu-Yun Lu', 'Chin Ling Tsao', 'Chin Ling Tsao', 'Hsiao Chih-wen', 'Liang-Yueh Chen', 'Li-Hua Chen', 'Ko-Chung Chang', 'Te-Ming Lu', 'Hsiao Ai', 'Hsi-Sheng Chen', 'Shu-Chuan Huang', 'Hung-Shen Shen', 'Meng Chi-Liang', 'Hung Hung', 'Ting-Ni Ma', 'Hu Hsiang-Ping', 'Pao-Kuei Sun', 'Vicky Chiang', 'Ming-Yang Shih', 'Li-Mei Chen', 'Chen Shiang-Chyi', 'Te-Nan Lai', 'Ju-Ping Lin', 'Danny Deng', 'Ming-Yu Shih', 'Heng-Cheng Lin', 'Yi-Hua Shih', 'Kuo-Chih Shu', 'Chang-Ju Kuo', 'Miao-hui Kao', 'Chang-Hao Liu', 'Hsieh Chung-Mou', 'Chung-Chang Tuan', 'Te-chien Hou', 'Tsu-Yun Lang', 'Tang Shiang-Chu', 'Lai-Fu Chen', 'Min-Nen Lee', 'Yu Wei-Yen', 'Dao Nan Wang', 'Chuang Wu', 'Le-Chin Wu', 'Tzu-Chiang Lee', 'Liping Yang', 'Katherine Hui-ling Chou', 'Yuen Ming-Hung', 'Bo Yuan']"
My Winnipeg,2007,Guy Maddin,80,"['Ann Savage', 'Amy Stewart', 'Darcy Fehr', 'Louis Negin', 'Brendan Cade', 'Wesley Cade', 'Guy Maddin', 'Lou Profeta', 'Fred Dunsmore', 'Kate Yacula', 'Jacelyn Lobay', 'Eric Nipp', 'Jennifer Palichuk']"
